Type,Chamber,Committee,Day of Week,Time,Room,Member List Website
Standing Committee,Oklahoma House,Administrative Rules,Wed.,9:00am,206,
Standing Committee,Oklahoma House,Ag & Rural Development,Tues.,10:30am,432A,
Standing Committee,Oklahoma House,Appropriations & Budget,,,,
Standing Committee,Oklahoma House,"Banking, Financial Services & Pensions",Tues.,1:30pm,206,
Standing Committee,Oklahoma House,"Business, Commerce & Tourism",Wed.,1:30pm,432A,
Standing Committee,Oklahoma House,"Children, Youth & Family Services",Tues.,1:30pm,412C,
Standing Committee,Oklahoma House,Common Education,Mon.,3:00pm,412C,
Standing Committee,Oklahoma House,County & Municipal Government,Wed.,9:00am,412C,
Standing Committee,Oklahoma House,Elections & Ethics,Mon.,9:00am,512A,
Standing Committee,Oklahoma House,Energy & Natural Resources,Thurs.,10:30am,412C,
Standing Committee,Oklahoma House,General Government Oversight & Accountability,Thurs.,10:30am,512A,
Standing Committee,Oklahoma House,Government Modernization,Wed.,10:30am,412C,
Standing Committee,Oklahoma House,Health Services & Long-term Care,Wed.,10:30am,512A,
Standing Committee,Oklahoma House,Higher Education & Career Tech,Tues.,3:00pm,432A,
Standing Committee,Oklahoma House,Insurance,Tues.,3:00pm,512A,
Standing Committee,Oklahoma House,Judiciary - Civil & Environmental,Tues.,10:30am,206,
Standing Committee,Oklahoma House,Judiciary - Criminal Justice & Corrections,Wed.,10:30am,206,
Standing Committee,Oklahoma House,Public Health,Tues.,10:30am,412C,
Standing Committee,Oklahoma House,Public Safety,Wed.,3:00pm,412C,
Standing Committee,Oklahoma House,Rules,Tues.,3:00pm,412C,
Standing Committee,Oklahoma House,Transportation,Mon.,3:00pm,512A,
Standing Committee,Oklahoma House,Utilities,Wed.,3:00pm,206,
Standing Committee,Oklahoma House,Veterans & Military Affairs,Tues.,3:00pm,206,
Standing Committee,Oklahoma House,Wildlife,Tues.,1:30pm,512A,
Standing Committee,Oklahoma Senate,Ag & Wildlife,Tues.,after session,511A,
Standing Committee,Oklahoma Senate,Appropriations,Wed.,9:00am,535,
Standing Committee,Oklahoma Senate,"Business, Commerce & Tourism",Thurs.,9:00am,511A,
Standing Committee,Oklahoma Senate,Education,Mon.,9:00am,535,
Standing Committee,Oklahoma Senate,Energy,Thurs.,8:30am,535,
Standing Committee,Oklahoma Senate,Finance,Tues.,10:30am,535,
Standing Committee,Oklahoma Senate,General Government,Mon.,10:30am,230,
Standing Committee,Oklahoma Senate,Health & Human Services,Mon.,after session,535,
Standing Committee,Oklahoma Senate,Retirement & Insurance,Mon.,after session,230,
Standing Committee,Oklahoma Senate,Judiciary,Tues.,9:00am,419-C,
Standing Committee,Oklahoma Senate,Pensions,Mon.,after session,230,
Standing Committee,Oklahoma Senate,Public Safety,Thurs.,after AM session,230,
Standing Committee,Oklahoma Senate,Rules,Wed.,call of the chair,419C,
Standing Committee,Oklahoma Senate,Tourism & Wildlife,Tues.,after session,511A,
Standing Committee,Oklahoma Senate,Transportation,Tues.,3:30pm,419C,
Standing Committee,Oklahoma Senate,Veterans & Military Services,Thurs.,after session,419C,
